"[datetime.datetime(2020, 12, 10, 15, 59, 37, 768650)]",['IDT002'],[True],[23.52]
"[datetime.datetime(2020, 12, 10, 16, 0, 5, 100926)]","['IDT002', 'IDL001']","[True, True]","[23.43, 998.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 5, 228783)]","['IDT002', 'IDL001']","[True, True]","[23.43, 995.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 5, 612075)]","['IDT002', 'IDL001']","[True, True]","[23.43, 995.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 5, 740361)]","['IDT002', 'IDL001']","[True, True]","[23.43, 993.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 6, 108082)]","['IDT002', 'IDL001']","[True, True]","[23.43, 993.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 6, 251536)]","['IDT002', 'IDL001']","[True, True]","[23.43, 991.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 6, 619524)]","['IDT002', 'IDL001']","[True, True]","[23.43, 991.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 6, 763416)]","['IDT002', 'IDL001']","[True, True]","[23.43, 990.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 7, 147182)]","['IDT002', 'IDL001']","[True, True]","[23.43, 990.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 7, 275072)]","['IDT002', 'IDL001']","[True, True]","[23.43, 988.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 7, 642695)]","['IDT002', 'IDL001']","[True, True]","[23.43, 988.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 7, 770612)]","['IDT002', 'IDL001']","[True, True]","[23.43, 992.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 8, 169829)]","['IDT002', 'IDL001']","[True, True]","[23.43, 992.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 8, 281993)]","['IDT002', 'IDL001']","[False, True]","[23.43, 999.0]"
"[datetime.datetime(2020, 12, 10, 16, 0, 8, 649697)]","['IDT002', 'IDL001', 'IDT001']","[False, True, True]","[23.43, 999.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 8, 665148)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 999.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 8, 793155)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 991.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 9, 145130)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 991.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 9, 176628)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 991.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 9, 304034)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 999.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 9, 688693)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 999.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 9, 815602)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 987.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 9, 831926)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 987.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 10, 199961)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 987.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 10, 311810)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 999.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 10, 743412)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 999.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 10, 822478)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 988.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 11, 254517)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 988.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 11, 334179)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 999.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 11, 765960)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 999.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 11, 845150)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 1001.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 12, 277495)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 1001.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 12, 340944)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 1002.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 12, 804794)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 1002.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 12, 852009)]","['IDT002', 'IDL001', 'IDT001']","[True, True, True]","[23.43, 1004.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 13, 316445)]","['IDT002', 'IDL001', 'IDT001']","[True, False, False]","[23.43, 1004.0, 20.8]"
"[datetime.datetime(2020, 12, 10, 16, 0, 13, 363784)]","['IDT002', 'IDL001', 'IDT001']","[True, True, False]","[23.43, 997.0, 20.8]"
