2020-12-10 14:22:37.306178,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 972.0]"
2020-12-10 14:22:37.418054,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 972.0]"
2020-12-10 14:22:37.849554,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 955.0]"
2020-12-10 14:22:37.929440,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 955.0]"
2020-12-10 14:22:38.424661,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 955.0]"
2020-12-10 14:22:38.936330,"['IDT002', 'IDT001', 'IDL001']",0,"[23.52, 23.25, 955.0]"
2020-12-10 14:22:38.952311,"['IDT002', 'IDT001', 'IDL001']",2,"[23.52, 23.25, 956.0]"
2020-12-10 14:22:39.447510,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 956.0]"
2020-12-10 14:22:39.847223,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 956.0]"
2020-12-10 14:22:39.959158,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 956.0]"
2020-12-10 14:22:40.006937,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 965.0]"
2020-12-10 14:22:40.358461,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 965.0]"
2020-12-10 14:22:40.454363,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 965.0]"
2020-12-10 14:22:40.566280,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 943.0]"
2020-12-10 14:22:40.869903,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 943.0]"
2020-12-10 14:22:40.965646,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 943.0]"
2020-12-10 14:22:41.476927,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 943.0]"
2020-12-10 14:22:41.636828,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 981.0]"
2020-12-10 14:22:41.972287,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 981.0]"
2020-12-10 14:22:42.164112,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:42.467861,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:42.499786,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 979.0]"
2020-12-10 14:22:42.691718,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 1005.0]"
