2020-12-07 18:51:36.734210,['IDT002'],[20.51]
2020-12-07 18:51:44.790464,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.791039,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.791615,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.792187,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.793172,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.796806,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.798073,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.799270,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.800173,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.800952,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.801842,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.802554,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.803210,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.803767,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.804495,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.805236,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.805967,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.806629,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.807211,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.807826,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.808443,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.809023,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.809930,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.814262,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.815900,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.817250,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.818420,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.819123,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.819659,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.820183,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.820727,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.821391,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.821874,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.822438,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.822973,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.823429,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.823987,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.824529,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.825222,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.825781,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.826361,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.826860,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.827567,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.828237,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.828822,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.829315,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.829836,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.830395,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.831004,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.831475,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.831982,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.832444,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.832914,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.833488,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.834070,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.834734,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.835772,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.836671,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.837227,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.837883,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.838314,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.838737,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.839246,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.839636,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.840070,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.840712,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.841249,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.841815,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.842368,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.842904,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.844153,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.844909,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.845516,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.846127,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.846614,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.847285,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.848497,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.851521,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.852967,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.854273,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.855946,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.856939,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.858144,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.859188,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.860098,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.860933,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.861775,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.862445,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.862998,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.863622,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.864158,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.864863,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.865534,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.866071,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.866537,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.867231,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.868029,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.868823,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.869489,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.870189,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.870877,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.871672,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.872279,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.872759,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.873314,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.874003,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.874699,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.875730,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.877667,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.878833,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.879809,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.881343,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.882206,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.882873,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.883476,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.884065,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.884639,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.885439,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.886028,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.886667,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.887318,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.887899,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.888735,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.889677,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.890459,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.890965,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.891593,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.892257,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.892790,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.894569,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.896865,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.898579,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.899873,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.901181,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.902043,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.902509,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.903010,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.903436,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.903891,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.904488,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.905057,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.905514,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.905997,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.906459,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.906933,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.907537,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.908003,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.908612,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.909084,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.909573,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.910182,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.911107,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.913175,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.914097,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.914559,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.915051,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.915499,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.916088,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.916632,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.917118,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.917603,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.918064,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.918539,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.919112,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.919639,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.920088,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.920543,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.921050,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.921502,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.922066,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.922577,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.923128,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.923689,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.924184,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.924840,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.925585,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.926711,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.927970,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.928434,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.928971,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.929440,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.929846,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.930235,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.931121,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.931668,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.932378,"['IDT002', 'IDL001']","[20.51, 968.0]"
2020-12-07 18:51:44.933259,"['IDT002', 'IDL001']","[20.51, 968.0]"
